interface_id,name,source,target,protocol,owner,support_route,business_key
REF-001,Reference Customer integration 01,SAP-MDG,SAP-TM,IDoc,Support Queue 2,Ops Queue 2,key_01
REF-002,Reference Supplier integration 02,SAP-S4,CRM,REST,Support Queue 3,Ops Queue 3,key_02
REF-003,Reference Material integration 03,SAP-EWM,Commerce,Kafka,Support Queue 1,Ops Queue 1,key_03
REF-004,Reference Order integration 04,SAP-TM,Warehouse,CSV,Support Queue 2,Ops Queue 2,key_04
REF-005,Reference Delivery integration 05,CRM,Data-Lake,EDI,Support Queue 3,Ops Queue 3,key_05
REF-006,Reference Shipment integration 06,Commerce,Partner-Gateway,IDoc,Support Queue 1,Ops Queue 1,key_06
REF-007,Reference Invoice integration 07,Warehouse,Finance,REST,Support Queue 2,Ops Queue 2,key_07
REF-008,Reference Stock integration 08,Data-Lake,MES,Kafka,Support Queue 3,Ops Queue 3,key_08
REF-009,Reference Product integration 09,Partner-Gateway,TMS,CSV,Support Queue 1,Ops Queue 1,key_09
REF-010,Reference BusinessPartner integration 10,Finance,SAP-MDG,EDI,Support Queue 2,Ops Queue 2,key_10
REF-011,Reference Customer integration 11,MES,SAP-S4,IDoc,Support Queue 3,Ops Queue 3,key_11
REF-012,Reference Supplier integration 12,TMS,SAP-EWM,REST,Support Queue 1,Ops Queue 1,key_12
REF-013,Reference Material integration 13,SAP-MDG,SAP-TM,Kafka,Support Queue 2,Ops Queue 2,key_13
REF-014,Reference Order integration 14,SAP-S4,CRM,CSV,Support Queue 3,Ops Queue 3,key_14
REF-015,Reference Delivery integration 15,SAP-EWM,Commerce,EDI,Support Queue 1,Ops Queue 1,key_15
REF-016,Reference Shipment integration 16,SAP-TM,Warehouse,IDoc,Support Queue 2,Ops Queue 2,key_16
REF-017,Reference Invoice integration 17,CRM,Data-Lake,REST,Support Queue 3,Ops Queue 3,key_17
REF-018,Reference Stock integration 18,Commerce,Partner-Gateway,Kafka,Support Queue 1,Ops Queue 1,key_18
REF-019,Reference Product integration 19,Warehouse,Finance,CSV,Support Queue 2,Ops Queue 2,key_19
REF-020,Reference BusinessPartner integration 20,Data-Lake,MES,EDI,Support Queue 3,Ops Queue 3,key_20
REF-021,Reference Customer integration 21,Partner-Gateway,TMS,IDoc,Support Queue 1,Ops Queue 1,key_21
REF-022,Reference Supplier integration 22,Finance,SAP-MDG,REST,Support Queue 2,Ops Queue 2,key_22
REF-023,Reference Material integration 23,MES,SAP-S4,Kafka,Support Queue 3,Ops Queue 3,key_23
REF-024,Reference Order integration 24,TMS,SAP-EWM,CSV,Support Queue 1,Ops Queue 1,key_24
REF-025,Reference Delivery integration 25,SAP-MDG,SAP-TM,EDI,Support Queue 2,Ops Queue 2,key_25
REF-026,Reference Shipment integration 26,SAP-S4,CRM,IDoc,Support Queue 3,Ops Queue 3,key_26
REF-027,Reference Invoice integration 27,SAP-EWM,Commerce,REST,Support Queue 1,Ops Queue 1,key_27
REF-028,Reference Stock integration 28,SAP-TM,Warehouse,Kafka,Support Queue 2,Ops Queue 2,key_28
REF-029,Reference Product integration 29,CRM,Data-Lake,CSV,Support Queue 3,Ops Queue 3,key_29
REF-030,Reference BusinessPartner integration 30,Commerce,Partner-Gateway,EDI,Support Queue 1,Ops Queue 1,key_30
